Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1987-06-10,1.411692146,0.8707716395,334.78,0.8643251843,0.8641193926,,,,,
1987-06-11,1.41451553,0.8873163007,334.78,0.8641193926,0.8639136499,,,,,
1987-06-12,1.432904232,0.8811050866,334.78,0.8639136499,0.8637079561,,,,,
1987-06-15,1.473025551,0.9207548155,334.78,0.8637079561,0.8635023114,,,,,
1987-06-16,1.493647908,0.9225963251,334.78,0.8635023114,0.8632967156,,,,,
1987-06-17,1.517546275,0.928131903,334.78,0.8632967156,0.8630911688,,,,,
1987-06-18,1.519063821,0.9364850902,334.78,0.8630911688,0.8628856709,,,,,
1987-06-19,1.531216332,0.9299296945,334.78,0.8628856709,0.8626802219,,,,,
1987-06-22,1.549590928,0.9234201867,334.78,0.8626802219,0.8624748218,,,,,
1987-06-23,1.588330701,0.9335778087,334.78,0.8624748218,0.8622694707,,,,,
1987-06-24,1.567682402,0.9335778087,334.78,0.8622694707,0.8620641684,,,,,
1987-06-25,1.545734848,0.9214412972,334.78,0.8620641684,0.8618589151,,,,,
1987-06-26,1.576649545,0.926969945,334.78,0.8618589151,0.8616537106,,,,,
1987-06-29,1.548269853,0.9000878166,334.78,0.8616537106,0.8614485549,,,,,
1987-06-30,1.559107742,0.8964874653,338.58,0.8810047083,0.8905776781,,,,,
1987-07-01,1.499861648,0.9117277522,338.58,0.8905776781,0.8903656358,,,,,
1987-07-02,1.48336317,0.9171981188,338.58,0.8903656358,0.890153644,,,,,
1987-07-06,1.523413976,0.9254529018,338.58,0.890153644,0.8899417027,,,,,
1987-07-07,1.511226664,0.9273038076,338.58,0.8899417027,0.8897298118,,,,,
1987-07-08,1.547496104,0.9300857191,338.58,0.8897298118,0.8895179714,,,,,
1987-07-09,1.559876072,0.9263653762,338.58,0.8895179714,0.8893061814,,,,,
1987-07-10,1.547397064,0.9115435302,338.58,0.8893061814,0.8890944418,,,,,
1987-07-13,1.55977624,0.9224820525,338.58,0.8890944418,0.8888827526,,,,,
